_id,INTERSECTION_ID,LINEAR_NAME_FULL_1,LINEAR_NAME_FULL_2,ID,X,Y,LONGITUDE,LATITUDE,OBJECTID,geometry,MID_BLOCK,POLICE_DIVISION_2,POLICE_DIVISION_3,ACTIVATION_DATE,SIDE2,CLIENT_STREET_2,CLIENT_STREET_1,SIDE1,MI_PRINX,PRIVATE_ACCESS,TCS,ADDITIONAL_INFO,POLICE_DIVISION_1,WARD_1,WARD_3,WARD_2,WARD_4,NAME,DISTRICT,RLC,MAIN
23300,13446827,McCowan Rd,Ellesmere Rd,164,NA,NA,NA,NA,164,"c(-79.251497995166, 43.7721420056226)",NA,NA,NA,2021-08-27T04:00:00,NA,ELLESMERE RD,MCCOWAN RD,ELLESMERE RD,164,NA,699,NA,43,Scarborough Centre(21),NA,Scarborough-Guildwood(24),NA,Mccowan Rd And Ellesmere Rd,Scarborough,6188,MCCOWAN RD
23301,13447827,McCowan Rd,Brimorton Dr,165,NA,NA,NA,NA,165,"c(-79.2489580019758, 43.7654209967952)",NA,NA,NA,2021-06-11T04:00:00,NA,BRIMORTON DR,MCCOWAN RD,BRIMORTON DR,165,NA,951,NA,43,Scarborough Centre(21),NA,Scarborough Guildwood(24),NA,Mccowan Rd And Brimorton Dr,Scarborough,6190,MCCOWAN RD
23302,NA,NA,NA,166,NA,NA,NA,NA,166,"c(-79.5956219954628, 43.717268007419)",NA,NA,NA,2021-06-11T04:00:00,NA,REXDALE BLVD,HIGHWAY 27,REXDALE BLVD,166,NA,1161,NA,23,Etobicoke North(1),NA,NA,NA,Highway 27 And Rexdale Blvd,Etobicoke York,6191,HIGHWAY 27
23303,13452437,Bathurst St,Wilson Ave,167,NA,NA,NA,NA,167,"c(-79.4340050046302, 43.7373540023486)",NA,NA,NA,2021-06-29T04:00:00,NA,WILSON AVE,BATHURST ST,WILSON AVE,167,NA,320,NA,32,York Centre(6),NA,NA,NA,Bathurst St And Wilson Ave,North York,6192,BATHURST ST
23304,13465860,Jarvis St,Shuter St,168,NA,NA,NA,NA,168,"c(-79.3739169933193, 43.6553610036448)",NA,NA,NA,2021-06-03T04:00:00,NA,SHUTER ST,JARVIS ST,SHUTER ST,168,NA,7,NA,51,Toronto Centre(13),NA,NA,NA,Jarvis St And Shuter St,Toronto and East York,6193,JARVIS ST
23305,13448487,Lawrence Ave E,Greencrest Crct,169,NA,NA,NA,NA,169,"c(-79.2229820032987, 43.7603119953437)",NA,NA,NA,2021-07-29T04:00:00,GREENHOLM CRCT,GREENCREST CRCT,LAWRENCE AVE E,GREENCREST CRCT,169,NA,1005,NA,43,Scarborough-Guildwood(24),NA,NA,NA,Lawrence Ave E And Greencrest Crct / Greenholm Crct,Scarborough,6194,LAWRENCE AVE E
23306,13449574,Steeles Ave W,Martin Grove Rd,170,NA,NA,NA,NA,170,"c(-79.6033810035634, 43.7578610076682)",NA,NA,NA,2021-06-29T04:00:00,NA,MARTIN GROVE RD,STEELES AVE W,MARTIN GROVE RD,170,NA,1486,NA,23,Etobicoke North(1),NA,NA,NA,Steeles Ave W And Martin Grove Rd,Etobicoke York,6195,STEELES AVE W
23307,14134984,Lake Shore Blvd W,Lower Simcoe St,171,NA,NA,NA,NA,171,"c(-79.3831869970504, 43.6403400048128)",NA,NA,NA,2021-09-13T04:00:00,NA,LOWER SIMCOE ST,LAKE SHORE BLVD W,LOWER SIMCOE ST,171,NA,1747,NA,52,Spadina-Fort York(10),NA,NA,NA,Lake Shore Blvd W And Lower Simcoe St,Toronto and East York,6196,LAKE SHORE BLVD W
23308,13458216,Martin Grove Rd,Belfield Rd,172,NA,NA,NA,NA,172,"c(-79.5756320005708, 43.7019480092184)",NA,NA,NA,2021-07-29T04:00:00,NA,BELFIELD RD,MARTIN GROVE RD,BELFIELD RD,172,NA,789,NA,23,Etobicoke North(1),NA,NA,NA,Martin Grove Rd And Belfield Rd,Etobicoke York,6197,MARTIN GROVE RD
23309,13442251,Finch Ave E,Markham Rd,173,NA,NA,NA,NA,173,"c(-79.2430759998232, 43.8129710006548)",NA,NA,NA,2021-06-03T04:00:00,NA,MARKHAM RD,FINCH AVE E,MARKHAM RD,173,NA,1257,NA,42,Scarborough North(23),NA,NA,NA,Finch Ave E And Markham Rd,Scarborough,6198,FINCH AVE E
23310,13443837,Finch Ave E,Warden Ave,174,NA,NA,NA,NA,174,"c(-79.315766003199, 43.7967720021073)",NA,NA,NA,2021-06-30T04:00:00,NA,WARDEN AVE,FINCH AVE E,WARDEN AVE,174,NA,1035,NA,42,Scarborough-Agincourt(22),NA,NA,NA,Finch Ave E And Warden Ave,Scarborough,6199,FINCH AVE E
23311,13451212,Lawrence Ave E,Pharmacy Ave,175,NA,NA,NA,NA,175,"c(-79.3046450113134, 43.7432420025631)",NA,NA,NA,2021-07-29T04:00:00,NA,PHARMACY AVE,LAWRENCE AVE E,PHARMACY AVE,175,NA,408,NA,41,Scarborough Centre(21),NA,NA,NA,Lawrence Ave E And Pharmacy Ave,Scarborough,6200,LAWRENCE AVE E
23312,13450997,Eglinton Ave E,Markham Rd,176,NA,NA,NA,NA,176,"c(-79.2189130009699, 43.7431820018927)",NA,NA,NA,2021-06-23T04:00:00,NA,MARKHAM RD,EGLINTON AVE E,MARKHAM RD,176,NA,463,NA,43,Scarborough Southwest(20),NA,Scarborough Guildwood(24),NA,Eglinton Ave E And Markham Rd,Scarborough,6203,EGLINTON AVE E
